Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
DEVERNOIS;FR0000060840;ALDEV;"Euronext Growth Paris";EUR;10.20;10.20;10.20;10.20;"15/05/2026 11:30";CET;1;10.20;10.20;15/05/2026
"DIAGNOSTIC MEDICAL";FR0012202497;ALDMS;"Euronext Growth Paris";EUR;1.32;1.32;1.28;1.30;"15/05/2026 17:35";CET;10540;13683.435;1.30;15/05/2026
DNXCORP;FR0010436584;ALDNX;"Euronext Growth Paris";EUR;18.50;18.65;18.50;18.65;"15/05/2026 16:01";CET;242;4478.10;18.65;15/05/2026
"DOCK.PETR.AMBES AM";FR0000065260;DPAM;"Euronext Paris";EUR;860.00;860.00;860.00;860.00;"15/05/2026 11:30";CET;1;860.00;860.00;15/05/2026
DOLFINES;FR001400SP13;ALDOL;"Euronext Growth Paris";EUR;0.978;0.978;0.95;0.95;"15/05/2026 15:33";CET;562;547.622;0.95;15/05/2026
DONTNOD;FR0013331212;ALDNE;"Euronext Growth Paris";EUR;0.40;0.429;0.40;0.41;"15/05/2026 16:46";CET;3828;1596.336;0.41;15/05/2026
"DRONE VOLT";FR001400SVN0;ALDRV;"Euronext Growth Paris";EUR;0.4798;0.4798;0.445;0.459;"15/05/2026 17:35";CET;991291;454350.875;0.459;15/05/2026
"DRONE VOLT BS28";FR0014007951;BNBS;"Euronext Growth Paris";EUR;0.0066;0.008;0.0066;0.008;"15/05/2026 14:52";CET;23353;158.4488;0.008;15/05/2026
"DRONE VOLT BSA";FR0014011219;DRNBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.0215;15/05/2026
DRONEVOLTBS31;FR00140188H9;DVBS6;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.0549;15/05/2026
DYNAFOND;FR0000052920;MLDYN;"Euronext Access Paris";EUR;0.70;0.70;0.70;0.70;"01/10/2025 11:30";CET;1269;888.30;0.70;15/05/2026
"E PANGO";FR0014004339;ALAGO;"Euronext Growth Paris";EUR;0.1921;0.1965;0.1863;0.1863;"15/05/2026 17:35";CET;293509;55955.4988;0.1863;15/05/2026
EAGLEFOOTBALLGROUP;FR0010428771;EFG;"Euronext Paris";EUR;2.16;2.20;2.09;2.09;"15/05/2026 17:02";CET;8653;18706.74;2.09;15/05/2026
"EASSON HOLDINGS";HK0000038783;MLEAS;"Euronext Access Paris";EUR;1.26;1.26;1.26;1.26;"06/01/2025 11:30";CET;50;63.00;1.26;15/05/2026
"EAUX DE ROYAN";FR0007200100;MLEDR;"Euronext Access Paris";EUR;36.80;36.80;36.80;36.80;"15/05/2026 16:49";CET;503;18510.40;36.80;15/05/2026
EAVS;FR0010536185;MLEAV;"Euronext Access Paris";EUR;13.00;13.00;13.00;13.00;"28/09/2022 11:30";CET;2;26.00;13.00;15/05/2026
ECOMIAM;FR0013534617;ALECO;"Euronext Growth Paris";EUR;2.20;2.20;2.18;2.20;"15/05/2026 15:37";CET;296;651.08;2.20;15/05/2026
ECOSLOPS;FR0011490648;ALESA;"Euronext Growth Paris";EUR;1.28;1.40;1.28;1.33;"15/05/2026 17:35";CET;23832;32021.46;1.33;15/05/2026
EDENRED;FR0010908533;EDEN;"Euronext Paris";EUR;21.27;21.40;21.09;21.20;"15/05/2026 17:35";CET;759629;16112391.28;21.20;15/05/2026
EDILIZIACROBATICA;IT0005351504;ALEAC;"Euronext Growth Paris";EUR;3.50;3.50;3.30;3.30;"15/05/2026 10:48";CET;400;1340.20;3.30;15/05/2026
"EDUFORM ACTION";FR0010882886;MLEFA;"Euronext Access Paris";EUR;0.262;0.262;0.262;0.262;"15/05/2026 12:49";CET;151;39.562;0.262;15/05/2026
EGIDE;FR0000072373;ALGID;"Euronext Growth Paris";EUR;1.11;1.15;1.082;1.10;"15/05/2026 16:33";CET;50266;56298.46;1.10;15/05/2026
EIFFAGE;FR0000130452;FGR;"Euronext Paris";EUR;132.00;133.35;130.30;130.60;"15/05/2026 17:35";CET;295432;38685343.10;130.60;15/05/2026
