ticker,Company,Country
H2A.F,H2APEX GROUP SCA,LU
690D.F,HAIER SMART HOME CO.D YC1,CN
HABA.F,HAMBORNER REIT AG O.N.,DE
HHFA.F,HAMBURGER HAFEN UND LOGISTIK A-SP NA,DE
HNR1.F,HANNOVER RUECK SE NA O.N.,DE
HLAG.F,HAPAG-LLOYD AG NA O.N.,DE
HAW.F,HAWESKO HOLDING SE,DE
HEI.F,HEIDELBERG MATERIALS AG O.N.,DE
HPHA.F,HEIDELBERG PHARMA AG O.N.,DE
HDD.F,HEIDELBERGER DRUCKMASCHINEN AG .O.N.,DE
HLE.F,HELLA GMBH+CO.KGAA,DE
HFG.F,HELLOFRESH SE  INH O.N.,DE
HEN.F,HENKEL AG+CO.KGAA ST O.N.,DE
HEN3.F,HENKEL AG+CO.KGAA VZO,DE
HAG.F,HENSOLDT AG NA O.N.,DE
A3CMGN.F,HGEARS AG,DE
HLG.F,HIGHLIGHT COMMUNICATIONS AG INH.SF 1,CH
HOT.F,HOCHTIEF AG,DE
HNL.F,HOENLE AG,DE
HTG.F,HOMETOGO SE,LU
HBH.F,HORNBACH HOLDING ST O.N.,DE
BOSS.F,HUGO BOSS AG NA O.N.,DE
HYQ.F,HYPOPORT SE  NA O.N.,DE
INH.F,INDUS HOLDING AG,DE
IFX.F,INFINEON TECH.AG NA O.N.,DE
IXX.F,INIT INNOVATION O.N.,DE
INS.F,INSTONE REAL ESTATE GROUP SE,DE
ISH2.F,INTERSHOP COMMUNICATIONS INH O.N.,DE
IS7.F,INTICA SYSTEMS SE,DE
IOS.F,IONOS GROUP SE NA O.N.,DE
IVU.F,IVU TRAFFIC TECHN.AG O.N.,DE
JEN.F,JENOPTIK AG  NA O.N.,DE
JST.F,JOST WERKE SE INH.   O.N.,DE
JUN3.F,JUNGHEINRICH AG O.N.VZO,DE
SDF.F,K+S AG NA O.N.,DE
KGX.F,KION GROUP AG,DE
KCO.F,KLOECKNER + CO SE NA O.N.,DE
KTA.F,KNAUS TABBERT AG NA O.N.,DE
KBX.F,KNORR-BREMSE AG  INH O.N.,DE
SKB.F,KOENIG + BAUER AG ST O.N.,DE
KTN.F,KONTRON AG O.N,AT
KRN.F,KRONES AG O.N.,DE
KSB.F,KSB SE+CO.KGAA  ST O.N.,DE
KSB3.F,KSB SE+CO.KGAA VZO O.N.,DE
KWS.F,KWS SAAT KGAA  INH O.N.,DE
LXS.F,LANXESS AG,DE
